   0.0000000e+00   7.4000000e+02   9.8009247e+02
   2.0000000e+02   7.7000000e+02   9.8008602e+02
   4.0000000e+02   8.0000000e+02   9.8008291e+02
   6.0000000e+02   8.2000000e+02   9.8007873e+02
   8.0000000e+02   8.7000000e+02   9.8006880e+02
   1.0000000e+03   9.2000000e+02   9.8005951e+02
   1.2000000e+03   9.3000000e+02   9.8005691e+02
   1.4000000e+03   9.8000000e+02   9.8004944e+02
   1.6000000e+03   9.9000000e+02   9.8004605e+02
   1.8000000e+03   1.0000000e+03   9.8004444e+02
   2.0000000e+03   9.9000000e+02   9.8004786e+02
   2.2000000e+03   9.5000000e+02   9.8005441e+02
   2.4000000e+03   9.0000000e+02   9.8006604e+02
   2.6000000e+03   8.5000000e+02   9.8007543e+02
   2.8000000e+03   8.5000000e+02   9.8007455e+02
   3.0000000e+03   8.1000000e+02   9.8008077e+02
   3.2000000e+03   6.8000000e+02   9.8010667e+02
   3.4000000e+03   6.2000000e+02   9.8011755e+02
   3.6000000e+03   5.6000000e+02   9.8013019e+02
   3.8000000e+03   5.4000000e+02   9.8013264e+02
   4.0000000e+03   5.5000000e+02   9.8013078e+02
